Id,Weekly_Sales
1_1_2012-11-02,36296.5074875
1_1_2012-11-09,19109.044817113096
1_1_2012-11-16,19318.900949583334
1_1_2012-11-23,19788.044461666675
1_1_2012-11-30,21650.627392083337
1_1_2012-12-07,32385.637569027756
1_1_2012-12-14,45881.68251619044
1_1_2012-12-21,51847.40690273813
1_1_2012-12-28,21319.535197261896
1_1_2013-01-04,16524.358907499984
1_1_2013-01-11,17071.485910773794
1_1_2013-01-18,17800.2133197619
1_1_2013-01-25,18390.43472416665
1_1_2013-02-01,23304.500726785715
1_1_2013-02-08,40908.54480094701
1_1_2013-02-15,47329.832763878956
1_1_2013-02-22,19813.570552949135
1_1_2013-03-01,20725.58915827381
1_1_2013-03-08,21137.312028214285
1_1_2013-03-15,21612.264681547604
1_1_2013-03-22,22696.436475982147
1_1_2013-03-29,31477.013897291665
1_1_2013-04-05,39844.27088395835
1_1_2013-04-12,27404.715322738095
1_1_2013-04-19,27809.883379226194
1_1_2013-04-26,25420.940392000368
1_1_2013-05-03,18264.81995175593
1_1_2013-05-10,18093.006841726183
1_1_2013-05-17,16289.906939910717
1_1_2013-05-24,16288.84237246753
1_1_2013-05-31,16502.228698531748
1_1_2013-06-07,16780.946448333343
1_1_2013-06-14,16294.171074722228
1_1_2013-06-21,16205.562962916667
1_1_2013-06-28,15928.14891166667
1_1_2013-07-05,17049.009965654775
1_1_2013-07-12,16563.696172410717
1_1_2013-07-19,15894.810403125
1_1_2013-07-26,15713.47945318452
1_2_2012-11-02,46096.241887500044
1_2_2012-11-09,44327.785771071474
1_2_2012-11-16,43092.14950732142
1_2_2012-11-23,44531.23918708333
1_2_2012-11-30,44716.244062499994
1_2_2012-12-07,48242.28550916665
1_2_2012-12-14,50888.47918791666
1_2_2012-12-21,59580.47084482145
1_2_2012-12-28,44902.5355417857
1_2_2013-01-04,43400.42368104163
1_2_2013-01-11,42167.313378095205
1_2_2013-01-18,42462.9229932044
1_2_2013-01-25,42137.95877208333
1_2_2013-02-01,49900.70462785714
1_2_2013-02-08,47892.51733420636
1_2_2013-02-15,47658.06111333334
1_2_2013-02-22,46048.371157172645
1_2_2013-03-01,50807.65689688492
1_2_2013-03-08,47583.81136464287
1_2_2013-03-15,45841.85008905754
1_2_2013-03-22,44011.60103319442
1_2_2013-03-29,45876.07896069446
1_2_2013-04-05,48729.745055386884
1_2_2013-04-12,44878.63732351191
1_2_2013-04-19,45379.98153630954
1_2_2013-04-26,45153.60679931548
1_2_2013-05-03,48144.02620095234
1_2_2013-05-10,45409.181351047046
1_2_2013-05-17,44541.57887547618
1_2_2013-05-24,45120.65301178569
1_2_2013-05-31,46431.55605458332
1_2_2013-06-07,47606.360138333344
1_2_2013-06-14,45116.27065003968
1_2_2013-06-21,44637.949987500004
1_2_2013-06-28,46199.06469708334
1_2_2013-07-05,46228.63841886905
1_2_2013-07-12,44262.98767163694
1_2_2013-07-19,44896.1052874405
1_2_2013-07-26,44749.854116904775
1_3_2012-11-02,9488.322858541656
1_3_2012-11-09,9552.743841190479
1_3_2012-11-16,9614.325153035708
1_3_2012-11-23,9966.533230218267
1_3_2012-11-30,10462.858165168653
1_3_2012-12-07,11651.332657251998
1_3_2012-12-14,12372.530775972225
1_3_2012-12-21,13025.672951190474
1_3_2012-12-28,8922.006242857138
1_3_2013-01-04,14291.010387440478
1_3_2013-01-11,13548.730277500003
1_3_2013-01-18,12495.091349940469
1_3_2013-01-25,11570.033248928574
1_3_2013-02-01,12293.76119404762
1_3_2013-02-08,11596.473333244048
1_3_2013-02-15,11162.37737815476
1_3_2013-02-22,10779.050654345243
1_3_2013-03-01,11406.278578244048
1_3_2013-03-08,10862.559052012977
1_3_2013-03-15,8869.151031488089
1_3_2013-03-22,9096.958183035715
1_3_2013-03-29,9283.401657440469
1_3_2013-04-05,9937.981688214286
1_3_2013-04-12,8662.646809632031
1_3_2013-04-19,8659.590287847224
1_3_2013-04-26,8834.857357589284
1_3_2013-05-03,10010.889039126982
1_3_2013-05-10,9041.030036607137
1_3_2013-05-17,8254.237020148805
1_3_2013-05-24,8286.89454583333
1_3_2013-05-31,8154.441837976188
1_3_2013-06-07,7939.436550684525
1_3_2013-06-14,7954.293562559527
1_3_2013-06-21,6793.038049851188
1_3_2013-06-28,7357.16229360119
1_3_2013-07-05,7919.96047833333
1_3_2013-07-12,12976.095791068723
1_3_2013-07-19,17653.28974526786
1_3_2013-07-26,21504.879138333323
1_4_2012-11-02,38034.372774940435
1_4_2012-11-09,36375.58923499997
1_4_2012-11-16,37120.757530119045
1_4_2012-11-23,44200.291231309515
1_4_2012-11-30,41319.87249916665
1_4_2012-12-07,37923.38878523811
1_4_2012-12-14,39431.199124047664
1_4_2012-12-21,45802.793806190515
1_4_2012-12-28,39079.905126269856
1_4_2013-01-04,38554.88565124993
1_4_2013-01-11,36696.29521833331
1_4_2013-01-18,34228.034557083345
1_4_2013-01-25,33659.41144172619
1_4_2013-02-01,38320.53086071431
1_4_2013-02-08,37795.35025464285
1_4_2013-02-15,36580.087525426585
1_4_2013-02-22,34784.371536904786
1_4_2013-03-01,37747.04317583332
1_4_2013-03-08,35907.89434333334
1_4_2013-03-15,35604.51705297616
1_4_2013-03-22,35443.03516595237
1_4_2013-03-29,36759.42228958328
1_4_2013-04-05,38185.078967440495
1_4_2013-04-12,35475.59475708334
1_4_2013-04-19,34987.55579934523
1_4_2013-04-26,35043.232333869055
1_4_2013-05-03,38480.02652761904
1_4_2013-05-10,34817.82527924604
1_4_2013-05-17,34658.4247133532
1_4_2013-05-24,36778.32025017857
1_4_2013-05-31,39000.32924372024
